Unnamed: 0,Unnamed: 1,Unnamed: 2,Total Number of Filings,Unnamed: 4,Unnamed: 5,19232,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Serial No.,Date,Company Name,File No.,File Name,CUSIP Number,Form Type,Total Pages,Edited Pages,Template type,Edited,Accession Number,Completion Time,Post Status,Edited by,TC Done by,Filed By,SEC Filing Links,Notes,Comments by Barclays ,File Type
144,2020-12-09 00:00:00,,06747QSV0,,,424B2,19,,Automated,Yes,0001481057-20-000527,,,Shamim,,Habib,,,,Prelim
145,2020-12-09 00:00:00,,06747QSW8,,,424B2,17,,Automated,Yes,0001481057-20-000528,,,Mostafizur,,Habib,,,,Prelim
146,2020-12-10 00:00:00,,06747QSX6,,,424B2,18,,Automated,Yes,0001481057-20-000530,,,Habib,,Habib,,,,Prelim
147,2020-12-10 00:00:00,,06741WMG2 - Final,,,424B2,19,,Automated,Yes,0001481057-20-000551,,,Latif,,Habib,,,,Final
148,2020-12-10 00:00:00,,06741WMH0 - Final ,,,424B2,22,,Automated,Yes,0001481057-20-000548,,,Mostafizur,,Habib,,,,Final
149,2020-12-10 00:00:00,,06747QT23,,,424B2,16,,Automated,Yes,0001481057-20-000534,,,Shamim,,Habib,,,,Prelim
150,2020-12-10 00:00:00,,06747QSY4,,,424B2,14,,Automated,Yes,0001481057-20-000531,,,Saykot,,Habib,,,,Prelim
151,2020-12-10 00:00:00,,06741WME7 - Final,,,424B2,18,,Automated,Yes,0001481057-20-000549,,,Latif,,Habib,,,,Final
152,2020-12-10 00:00:00,,06747QT56,,,424B2,17,,Automated,Yes,0001481057-20-000540,,,Mostafizur,,Habib,,,,Prelim
153,2020-12-11 00:00:00,,06747QT56 - Final,,,424B2,17,,Automated,Yes,0001481057-20-000564,,,Latif,,Habib,,,,Final
154,2020-12-11 00:00:00,,06747QSY4 - Final,,,424B2,14,,Automated,Yes,0001481057-20-000565,,,Mostafizur,,Habib,,,,Final
155,2020-12-11 00:00:00,,06747QSX6 - Final,,,424B2,18,,Automated,Yes,0001481057-20-000558,,,Al Amin,,Habib,,,,Final
156,2020-12-11 00:00:00,,06747QT72,,,424B2,20,,Automated,Yes,0001481057-20-000545,,,Saykot,,Habib,,,,Prelim
157,2020-12-11 00:00:00,,06741WMM9,,,424B2,19,,Automated,No,0001481057-20-000546,,,Shamim,,Habib,,,,Prelim
158,2020-12-11 00:00:00,,06747QT98,,,424B2,14,,Automated,Yes,0001481057-20-000547,,,Mahfuza,,Habib,,,,Prelim
159,2020-12-11 00:00:00,,06747QSZ1,,,424B2,15,,Automated,Yes,0001481057-20-000552,,,Latif,,Habib,,,,Prelim
160,2020-12-14 00:00:00,,06747QSP3 - Final,,,424B2,21,,Automated,Yes,0001481057-20-000574,,,Jewel,,Habib,,,,Final
161,2020-12-14 00:00:00,,06741WMN7,,,424B2,18,,Automated,No,0001481057-20-000562,,,Al Amin,,Habib,,,,Prelim
162,2020-12-14 00:00:00,,06741WMP2,,,424B2,18,,Automated,No,0001481057-20-000560,,,Saykot,,Zakir,,,,Prelim
163,2020-12-14 00:00:00,,06741WMQ0,,,424B2,18,,Automated,No,0001481057-20-000561,,,Mostafizur,,Habib,,,,Prelim
164,2020-12-15 00:00:00,,06747QTA5 ,,,424B2,15,,Automated,No,0001481057-20-000568,,,Mahfuza,,Habib,,,,Prelim
165,2020-12-15 00:00:00,,06741WMR8,,,424B2,20,,Automated,No,0001481057-20-000569,,,Saykot,,Zakir,,,,Prelim
166,2020-12-15 00:00:00,,06747QTB3,,,424B2,23,,Automated,No,0001481057-20-000570,,,Jewel,,Habib,,,,Prelim
167,2020-12-15 00:00:00,,06741WMQ0 - FS,,,FWP,2,,Automated,No,0001481057-20-000571,,,Mostafizur,,Habib,,,,Fact Sheet
168,2020-12-15 00:00:00,,06747QSZ1 - Final,,,424B2,14,,Automated,Yes,0001481057-20-000580,,,Al Amin,,Habib,,,,Final
169,2020-12-15 00:00:00,,06747QTB3 - FS,,,FWP,2,,Automated,No,0001481057-20-000575,,,Habib,,Habib,,,,Fact Sheet
